"","geohash","observed","knn_predict","arima_predict","smooth_predict"
"5263","dr72hqc",0,-0.000561797752808989,0,1.31464368211856e-05
"5264","dr72hqf",0,-0.000561797752808989,0,-1.318386127698e-05
"5265","dr72hqg",0,-0.00168539325842697,0,-4.79096569975507e-08
"5266","dr72hqk",0,-0.00112359550561798,0,1.31751484191276e-05
"5267","dr72hqm",0,-0.00112359550561798,0,-1.31577399738947e-05
"5268","dr72hqp",0,0.00179775280898876,0,-1.3162089927583e-05
"5269","dr72hqq",0,-1.44560289664734e-19,0,-1.3162089927583e-05
"5270","dr72hqr",0,0.00134831460674157,0.00674157303374717,2.26684098412421e-17
"5271","dr72hqs",0,-0.000898876404494382,0,-1.31681822788549e-05
"5272","dr72hqt",0,-0.000749063670411985,0,-1.31751484191276e-05
"5273","dr72hqx",0,0.00187265917602996,0,1.31795041280543e-05
"5274","dr72hqy",0,0.000374531835205993,0,1.31612198218128e-05
"5275","dr72hr1",0,0.000561797752808989,0,1.21963885143415e-08
"5276","dr72hr2",0,0,0,-1.31673117703379e-05
"5277","dr72hr3",0,-0.000561797752808989,0,1.31673117703379e-05
"5278","dr72hr4",0,-0.00168539325842697,0,-1.31525219270867e-05
"5279","dr72hr6",0,-0.00112359550561798,0,-1.31699234685441e-05
"5280","dr72hrd",0,-0.000449438202247191,0,0
"5281","dr72hrj",0,0.00134831460674157,0.00449438202243543,0.00191887478881876
"5282","dr72hrk",0,0.00179775280898876,0,1.31455677501948e-05
"5283","dr72hrm",0,0.00224719101123596,0,-5.21701202879053e-09
"5284","dr72hrn",0,0.000561797752808989,0,-1.31699234685441e-05
"5285","dr72hrp",0,-0.000561797752808989,0,-1.318386127698e-05
"5286","dr72hrs",0,0.000561797752808989,0,1.21722236999343e-08
"5287","dr72hrt",0,0,0,1.31481751355374e-05
"5288","dr72hru",0,-0.000561797752808989,0,-1.3215275301134e-05
"5289","dr72hry",0,-0.000449438202247191,0,-1.31473059496319e-05
"5290","dr72hrz",0,-0.000449438202247191,0,-1.31603497735627e-05
"5291","dr72hs0",0,0,-0.00449438202243543,-0.00161459534018546
"5292","dr72hs2",0,-0.00134831460674157,0,1.31499136797414e-05
"5293","dr72hs3",0,0.000561797752808989,0,-2.78424694956603e-08
"5294","dr72hs4",0,0,0,1.74049930028537e-08
"5295","dr72hs5",0,-0.000898876404494382,0,-1.31655801285403e-05
"5296","dr72hs6",0,0,0,6.0879225208103e-09
"5297","dr72hs7",0,-0.00179775280898876,0,-1.31586098496075e-05
"5298","dr72hs8",0,-0.000449438202247191,0,-1.31655709259402e-05
"5299","dr72hs9",0,0.000449438202247191,0,7.8356127098333e-09
"5300","dr72hsb",0,-0.000749063670411985,0,-3.04798924860278e-08
"5301","dr72hsc",0,-0.000449438202247191,0,1.31890917571598e-05
"5302","dr72hsd",0,-0.000898876404494382,0,1.31821182445794e-05
"5303","dr72hse",0,-0.000449438202247191,-0.00449438202241578,-0.00139093858603122
"5304","dr72hsf",0,0.000561797752808989,0,-1.31577399738947e-05
"5305","dr72hsg",0,-0.000374531835205992,0,-1.21891340371813e-08
"5306","dr72hsh",0,-0.000898876404494382,0,1.31568701556868e-05
"5307","dr72hsj",0,-0.00168539325842697,-0.00449438202246518,-0.0019803137334416
"5308","dr72hsk",0,0.000449438202247191,0,6.08510590104249e-09
"5309","dr72hsm",0,-0.000898876404494382,0,-1.74049930028537e-08
"5310","dr72hsn",0,0,0,-2.63294105442005e-05
"5311","dr72hsp",0,-0.00134831460674157,0.00449438202243543,0.00165111075057001
"5312","dr72hsq",0,-0.00179775280898876,0,1.31673117703379e-05
"5313","dr72hsr",0,0.000898876404494382,-0.00674157303370888,-0.00388671380502204
"5314","dr72hss",0,-0.00112359550561798,0,0
"5315","dr72hst",0,-0.000898876404494382,0,-1.31612198218128e-05
"5316","dr72hsv",0,-0.000374531835205992,-0.0044943820224158,-1.22376650750157e-29
"5317","dr72hsw",0,0.000449438202247191,0,-1.74153504914183e-09
"5318","dr72hsx",0,-0.000449438202247191,0,0
"5319","dr72hsy",0,-0.000561797752808989,0,1.31681854435035e-05
"5320","dr72hsz",0,0.000449438202247191,0,0
"5321","dr72ht1",0,-0.000749063670411985,0,-1.31699234685441e-05
"5322","dr72ht3",0,-0.00168539325842697,0,-1.31699234685441e-05
"5323","dr72ht6",0,-0.00112359550561798,0,-1.13121231681282e-08
"5324","dr72ht8",0,0.000898876404494382,0,1.3149044378906e-05
