"","geohash","netdiff","netdiff2","netdiff3","netdiff4","netdiff5","netdiff6","netdiff7","netdiff8","netdiff9","netdiff10","netdiff11","netdiff12"
"4638","dr5runp",NA,NA,NA,NA,0,-3,-1,0,-1,-1,-3,-1
"4639","dr5runr",NA,NA,NA,NA,-1,-1,-1,-1,-2,-3,-2,0
"4641","dr5runx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4643","dr5ruq0",-11,-18,-10,-18,-19,-11,-8,-24,-20,-13,-17,-17
"4646","dr5ruq1",1,-12,-3,5,-18,-21,-20,-13,-4,-8,-6,-16
"4650","dr5ruq2",NA,NA,NA,NA,NA,NA,NA,NA,-1,1,0,0
"4651","dr5ruq3",-2,-2,-6,-1,-1,-6,-3,-12,-7,-9,-7,-8
"4655","dr5ruq4",-7,-10,-11,-8,-7,-12,-5,-15,-4,-8,-17,-8
"4659","dr5ruq5",-34,-31,-23,-11,-33,-18,-8,-19,-24,-27,-22,-30
"4663","dr5ruq6",-12,-18,-13,-10,-15,-18,-12,-22,-10,-4,-29,-15
"4667","dr5ruq7",-8,-14,-11,-2,-3,-10,-3,-6,-1,-6,-4,-8
"4669","dr5ruq8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"4670","dr5ruqd",-12,-4,-18,-8,-17,-22,-12,-18,-13,-8,-18,-2
"4674","dr5ruqe",-7,1,-10,3,3,-12,-6,-12,-16,-10,-15,-3
"4678","dr5ruqf",-9,-10,-10,-9,-7,-11,-5,-21,-8,-14,-14,-10
"4682","dr5ruqg",-21,-21,-17,-7,-7,-18,-6,-22,-17,-3,-22,-25
"4686","dr5ruqh",-21,-23,-30,-15,-17,-37,-24,-39,-18,-26,-49,-32
"4690","dr5ruqj",-17,-15,-11,-9,-6,-7,-10,-18,-13,-16,-13,-11
"4693","dr5ruqk",-7,-12,-14,-12,-2,-12,0,-6,-3,-7,-11,-11
"4697","dr5ruqm",-16,-17,-16,-13,-10,-11,-4,-12,-5,-3,-18,-12
"4700","dr5ruqn",-31,-40,-33,-20,-31,-40,-16,-38,-32,-37,-46,-36
"4704","dr5ruqp",-89,-102,-115,-94,-153,-123,-56,-137,-109,-111,-124,-81
"4708","dr5ruqq",-2,-7,-1,1,-3,-1,-4,-2,-2,-2,-8,-11
"4710","dr5ruqr",-71,-65,-72,-49,-86,-101,-51,-88,-54,-61,-79,-87
"4714","dr5ruqs",NA,NA,NA,NA,NA,NA,-1,-1,-1,-2,-1,-1
"4716","dr5ruqt",-16,-7,-18,-18,-8,-14,-12,-11,0,-16,-20,-15
"4720","dr5ruqu",-1,-1,-1,-4,-6,-12,-12,-8,-1,0,-3,-11
"4724","dr5ruqv",-8,-6,-6,-7,-3,-11,0,-5,-5,-6,-9,-6
"4727","dr5ruqw",-16,-17,-33,-20,-23,-15,-10,-9,-13,-15,-11,-12
"4731","dr5ruqx",-41,-39,-61,-57,-74,-106,-57,-61,-51,-70,-106,-71
"4735","dr5ruqy",-30,-27,-45,-40,-29,-44,-40,-44,-23,-30,-51,-18
"4739","dr5ruqz",-89,-47,-49,-86,-76,-82,-50,-98,-71,-44,-106,-105
"4743","dr5rur4",-20,-7,-17,-16,-23,-26,-17,-33,-20,-16,-27,-17
"4747","dr5rur5",-6,-6,-11,-7,-12,-25,-7,-9,-15,-14,-7,-9
"4750","dr5rur6",-14,-15,-12,-5,-11,-6,-1,-7,-13,-18,-8,-7
"4754","dr5rur7",-12,-14,-18,-17,-10,-13,-13,-11,-21,-6,-20,-12
"4758","dr5rure",-29,-20,-40,-44,-37,-33,-23,-22,-27,-23,-29,-30
"4762","dr5rurg",-2,-3,-1,-1,-3,-7,1,-8,-7,-8,-13,-3
"4765","dr5rurh",-8,-14,-22,6,-13,-21,-3,-14,-14,-5,-13,-2
"4769","dr5rurj",-22,-15,-12,-15,-20,-18,-16,-23,-9,-7,-18,-20
"4771","dr5rurk",-10,-12,-18,-15,-12,-31,-13,-28,-8,-26,-25,-27
"4775","dr5rurm",-21,-10,-21,-21,-11,-16,-8,-34,-24,-20,-17,-23
"4779","dr5rurn",-6,-9,-6,-1,-8,-10,-4,-7,-5,-5,-11,0
"4782","dr5rurp",-65,-44,-54,-59,-45,-74,-54,-59,-39,-32,-68,-58
"4786","dr5rurq",-4,-5,-3,2,-3,-9,-10,-9,-4,-4,-8,-4
"4789","dr5rurr",-32,-45,-39,-33,-44,-49,-22,-44,-26,-49,-55,-16
"4793","dr5rurs",-10,-21,-16,-16,-12,-17,-22,-12,-11,-21,-22,-6
"4797","dr5rurt",-20,-19,-31,-17,-25,-35,-6,-34,-11,-11,-24,-9
"4801","dr5ruru",1,-2,-2,-4,-1,0,-1,-5,-2,-1,0,-3
"4803","dr5rurv",-13,-15,-11,-10,-16,-18,-12,-19,-17,-16,-27,-12
"4805","dr5rurw",-34,-22,-32,-31,-23,-23,-14,-23,-19,-21,-28,-14
"4809","dr5rurx",-34,-32,-43,-36,-35,-49,-40,-63,-17,-33,-50,-44
"4813","dr5rury",-15,-33,-41,-25,-29,-26,-30,-37,-18,-32,-19,-28
"4817","dr5rurz",-18,-20,-18,-14,-17,-18,-4,-18,-7,-15,-26,-10
"4821","dr5rus0",-72,-105,-130,-74,-93,-130,-121,-133,-83,-151,-247,-181
"4825","dr5rus1",-91,-83,-141,-127,-113,-118,-101,-154,-123,-129,-149,-104
"4829","dr5rus2",-79,-56,-55,-44,-60,-88,-68,-87,-32,-77,-121,-52
"4833","dr5rus3",-116,-108,-143,-147,-139,-156,-121,-187,-112,-138,-226,-178
"4837","dr5rus4",-51,-78,-81,-53,-80,-91,-76,-83,-61,-53,-86,-91
"4841","dr5rus5",-86,-72,-88,-93,-66,-122,-88,-123,-53,-92,-144,-136
"4845","dr5rus6",-108,-74,-123,-117,-83,-110,-91,-126,-88,-109,-172,-121
"4849","dr5rus7",-98,-77,-128,-167,-129,-144,-98,-110,-86,-100,-149,-87
"4853","dr5rus8",-85,-70,-81,-93,-94,-95,-71,-95,-51,-68,-120,-95
"4857","dr5rus9",-65,-90,-62,-78,-74,-126,-85,-152,-48,-83,-182,-75
"4861","dr5rusb",-114,-109,-100,-103,-93,-125,-75,-99,-113,-111,-159,-134
"4865","dr5rusc",-67,-61,-77,-44,-52,-118,-81,-67,-39,-82,-104,-75
"4869","dr5rusd",-135,-111,-205,-200,-201,-163,-134,-240,-175,-211,-232,-151
"4873","dr5ruse",-77,-68,-85,-61,-66,-103,-74,-90,-51,-74,-95,-61
"4877","dr5rusf",-85,-97,-98,-81,-94,-118,-108,-127,-87,-102,-122,-108
"4881","dr5rusg",-108,-134,-159,-142,-124,-128,-154,-177,-149,-172,-151,-144
"4885","dr5rush",-106,-108,-135,-107,-105,-138,-109,-146,-76,-80,-179,-141
"4889","dr5rusj",-101,-138,-133,-132,-141,-161,-132,-143,-127,-165,-199,-115
"4893","dr5rusk",-65,-108,-116,-119,-128,-136,-102,-146,-117,-106,-161,-90
"4897","dr5rusm",-101,-129,-144,-126,-112,-149,-149,-174,-78,-90,-194,-140
"4901","dr5rusn",-97,-105,-126,-121,-98,-197,-110,-171,-88,-137,-218,-110
"4905","dr5rusp",-111,-101,-207,-148,-130,-170,-116,-167,-131,-183,-257,-159
"4909","dr5rusq",-127,-105,-125,-157,-89,-161,-105,-168,-87,-141,-160,-130
"4913","dr5rusr",-88,-107,-139,-81,-100,-178,-105,-143,-83,-145,-219,-169
"4917","dr5russ",-79,-82,-81,-70,-61,-84,-49,-110,-50,-78,-128,-91
"4921","dr5rust",-165,-160,-239,-226,-198,-190,-171,-221,-207,-113,-293,-197
"4925","dr5rusu",-116,-106,-120,-118,-103,-142,-91,-140,-93,-96,-120,-146
"4929","dr5rusv",-107,-150,-125,-136,-130,-109,-126,-168,-117,-89,-219,-166
"4933","dr5rusw",-148,-116,-149,-86,-112,-181,-115,-188,-91,-134,-180,-169
"4937","dr5rusx",-127,-156,-201,-161,-125,-179,-149,-190,-147,-134,-211,-170
"4941","dr5rusy",-235,-216,-256,-238,-230,-307,-259,-283,-233,-148,-410,-345
"4945","dr5rusz",-150,-222,-212,-188,-186,-241,-149,-191,-150,-189,-263,-166
"4949","dr5rut0",-83,-111,-65,-98,-77,-150,-96,-122,-76,-81,-147,-91
"4953","dr5rut1",-135,-127,-158,-151,-126,-172,-108,-152,-119,-91,-208,-131
"4957","dr5rut2",-50,-40,-71,-49,-49,-91,-44,-78,-62,-56,-79,-69
"4961","dr5rut3",-49,-55,-42,-37,-43,-44,-34,-53,-33,-39,-56,-42
"4965","dr5rut4",-64,-80,-74,-76,-63,-68,-63,-107,-76,-69,-80,-89
"4969","dr5rut5",-59,-62,-73,-76,-46,-60,-39,-73,-78,-76,-62,-96
"4973","dr5rut6",-44,-64,-69,-62,-71,-78,-35,-62,-53,-45,-76,-84
"4977","dr5rut7",-19,-23,-14,-15,-7,-30,-17,-23,-11,-22,-24,-22
"4981","dr5rut8",-51,-52,-62,-55,-82,-89,-103,-98,-89,-89,-177,-85
"4985","dr5rut9",-2,-6,1,-2,-3,-16,-6,-9,-8,-7,-22,0
"4988","dr5rutb",-71,-74,-76,-65,-57,-100,-69,-89,-65,-65,-113,-92
"4992","dr5rutc",-18,-14,-25,-20,-15,-31,-19,-13,-17,-14,-36,-18
"4996","dr5rutd",1,-10,-5,-1,-1,-3,0,-5,0,-3,-6,-4
"4998","dr5rute",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5,-6
"5001","dr5rutf",NA,NA,NA,NA,NA,-1,2,-2,0,-1,0,-4
"5003","dr5rutg",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
"5006","dr5ruth",-77,-97,-104,-80,-87,-94,-87,-113,-95,-124,-120,-99
"5010","dr5rutj",-42,-43,-38,-38,-50,-62,-44,-70,-44,-84,-73,-53
"5014","dr5rutk",-4,-4,-2,0,0,-3,-6,-7,-3,-6,-11,-12
"5018","dr5rutm",0,-5,-4,1,0,-4,-5,-6,-1,-2,-4,-8
"5020","dr5rutn",-54,-67,-61,-49,-74,-97,-56,-106,-55,-48,-84,-123
"5024","dr5rutp",-113,-96,-91,-92,-90,-129,-69,-111,-93,-110,-138,-147
"5028","dr5rutq",NA,NA,NA,NA,1,-3,-1,-4,1,-2,-10,1
"5031","dr5rutr",-31,-37,-25,-19,-54,-42,-23,-55,-33,-39,-64,-74
"5035","dr5ruts",NA,NA,NA,NA,0,-4,1,-3,-3,-4,-6,-3
"5038","dr5rutt",NA,NA,NA,1,-1,-1,1,0,-1,-2,-3,-3
"5039","dr5rutu",NA,NA,NA,NA,1,-1,-1,2,-1,-3,-2,-2
"5040","dr5rutv",1,-2,-2,-2,-7,-1,-4,-6,0,-7,-2,-5
"5041","dr5rutw",NA,NA,NA,NA,1,1,-3,-1,-2,1,-3,0
"5042","dr5rutx",2,0,-5,-1,-2,-12,-2,-1,-3,-5,-5,-8
"5045","dr5rutz",NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-1,-1
"5047","dr5ruu0",-72,-86,-90,-78,-80,-107,-90,-95,-60,-72,-131,-91
"5051","dr5ruu1",-50,-49,-74,-88,-50,-75,-63,-77,-42,-77,-134,-65
"5055","dr5ruu2",-138,-119,-155,-136,-152,-198,-155,-187,-162,-160,-204,-148
"5059","dr5ruu3",-174,-131,-174,-195,-126,-179,-142,-199,-123,-151,-188,-139
"5063","dr5ruu4",-77,-56,-67,-74,-68,-111,-88,-88,-44,-81,-106,-93
"5067","dr5ruu5",-39,-33,-36,-41,-44,-37,-38,-51,-37,-31,-49,-43
"5071","dr5ruu6",-118,-104,-153,-113,-114,-161,-100,-140,-88,-113,-142,-132
"5075","dr5ruu7",-109,-67,-119,-80,-105,-92,-60,-96,-81,-102,-111,-145
"5079","dr5ruu8",-106,-114,-117,-156,-108,-208,-97,-175,-98,-149,-192,-127
"5083","dr5ruu9",-115,-118,-142,-134,-103,-119,-108,-167,-126,-162,-173,-137
"5087","dr5ruub",-166,-148,-215,-187,-187,-223,-160,-222,-146,-247,-295,-214
"5091","dr5ruuc",-129,-111,-176,-124,-96,-200,-125,-129,-119,-167,-243,-150
"5095","dr5ruud",-156,-180,-240,-156,-150,-225,-164,-207,-168,-157,-230,-216
"5099","dr5ruue",-32,-54,-51,-46,-48,-82,-54,-70,-54,-56,-80,-54
"5103","dr5ruuf",-89,-88,-119,-81,-81,-95,-80,-157,-50,-91,-138,-100
"5107","dr5ruug",-63,-66,-71,-52,-63,-78,-45,-85,-45,-82,-85,-67
"5111","dr5ruuh",-31,-28,-39,-31,-32,-21,-23,-31,-14,-25,-42,-36
"5115","dr5ruuj",-17,-14,-24,-15,-12,-16,-10,-24,-7,-13,-5,-4
"5117","dr5ruuk",-16,-44,-36,-42,-20,-34,-20,-29,-27,-47,-37,-36
"5121","dr5ruum",-27,-19,-26,-15,-37,-31,-24,-22,-16,-32,-37,-27
"5125","dr5ruun",-40,-25,-45,-29,-42,-37,-23,-51,-32,-47,-42,-31
"5129","dr5ruup",-25,-26,-14,-18,-8,-30,-23,-22,-14,-28,-18,-24
"5133","dr5ruuq",-18,-20,-18,-21,-24,-34,-14,-12,-15,-36,-29,-19
"5137","dr5ruur",-57,-58,-50,-56,-58,-68,-47,-58,-39,-64,-62,-51
"5141","dr5ruus",-25,-19,-23,-23,-21,-29,-21,-30,-16,-9,-21,-19
"5145","dr5ruut",-15,-23,-40,-35,-28,-50,-36,-26,-19,-34,-42,-18
"5149","dr5ruuu",-33,-52,-32,-49,-28,-59,-36,-74,-21,-40,-65,-35
"5153","dr5ruuv",-53,-50,-57,-46,-49,-73,-57,-40,-24,-57,-55,-60
"5157","dr5ruuw",-12,-20,-36,-27,-4,-35,-9,-21,-8,-17,-27,-23
"5161","dr5ruux",-10,-20,-19,-22,-37,-29,-21,-25,-23,-9,-37,-18
"5165","dr5ruuy",-60,-45,-86,-80,-67,-87,-76,-72,-68,-62,-98,-63
"5169","dr5ruuz",-19,-33,-25,-10,-20,-22,-17,-23,-14,-25,-29,-27
"5173","dr5ruv0",-117,-151,-139,-175,-129,-170,-116,-131,-77,-149,-177,-164
"5177","dr5ruv1",-85,-80,-92,-96,-93,-114,-65,-88,-89,-108,-143,-131
"5181","dr5ruv2",-33,-29,-26,-34,-38,-63,-34,-59,-43,-38,-69,-56
"5185","dr5ruv3",-96,-77,-83,-62,-78,-105,-65,-83,-27,-55,-106,-85
"5189","dr5ruv4",-89,-81,-125,-100,-63,-114,-65,-92,-66,-112,-117,-147
"5193","dr5ruv5",-92,-105,-90,-56,-101,-114,-57,-83,-82,-109,-110,-116
"5197","dr5ruv6",-46,-64,-58,-68,-47,-65,-58,-63,-40,-76,-99,-85
"5201","dr5ruv7",-70,-64,-56,-36,-52,-68,-53,-45,-55,-79,-73,-49
"5205","dr5ruv8",-34,-36,-33,-52,-49,-103,-43,-65,-79,-62,-65,-58
"5209","dr5ruv9",-63,-37,-42,-30,-58,-69,-32,-67,-36,-45,-82,-39
"5213","dr5ruvb",-4,-4,1,1,0,0,-2,-7,2,-7,-13,-8
"5217","dr5ruvc",-19,-31,-30,-29,-33,-19,-27,-27,-25,-23,-49,-25
"5221","dr5ruvd",-70,-68,-84,-70,-58,-98,-57,-73,-54,-95,-101,-64
"5225","dr5ruve",-52,-80,-75,-73,-75,-82,-32,-35,-63,-64,-98,-25
"5229","dr5ruvf",-56,-82,-81,-43,-49,-96,-50,-57,-44,-53,-91,-55
"5233","dr5ruvg",-82,-71,-54,-84,-44,-57,-29,-43,-52,-55,-112,-49
"5237","dr5ruvh",-42,-57,-59,-34,-49,-66,-45,-46,-35,-41,-52,-47
"5241","dr5ruvj",-38,-68,-47,-23,-51,-61,-45,-56,-38,-40,-86,-45
"5245","dr5ruvk",-65,-43,-48,-57,-45,-42,-33,-40,-32,-35,-52,-53
"5249","dr5ruvm",-28,-35,-26,-44,-30,-43,-28,-38,-18,-20,-60,-31
"5253","dr5ruvn",-20,-21,-44,-35,-30,-23,-22,-29,-31,-30,-46,-46
"5257","dr5ruvp",-36,-25,-41,-23,-24,-34,-13,-22,-21,-37,-55,-51
"5261","dr5ruvq",-48,-34,-40,-47,-37,-45,-34,-62,-35,-54,-70,-51
"5265","dr5ruvr",-40,-42,-61,-46,-47,-66,-46,-46,-44,-51,-75,-60
"5269","dr5ruvs",-53,-59,-78,-60,-61,-64,-37,-35,-57,-69,-93,-49
"5273","dr5ruvt",-74,-55,-58,-86,-68,-74,-29,-60,-58,-59,-91,-61
"5277","dr5ruvu",-90,-71,-72,-49,-68,-89,-39,-57,-44,-122,-106,-58
"5281","dr5ruvv",-56,-37,-55,-65,-36,-66,-41,-57,-40,-39,-87,-55
"5285","dr5ruvw",-82,-51,-82,-106,-92,-122,-54,-104,-101,-90,-141,-71
"5289","dr5ruvx",-44,-44,-43,-52,-33,-62,-45,-62,-35,-46,-59,-62
"5293","dr5ruvy",-36,-66,-67,-49,-38,-71,-49,-44,-31,-55,-87,-37
"5297","dr5ruvz",-97,-77,-137,-89,-101,-107,-86,-105,-86,-102,-98,-113
"5301","dr5ruw0",-67,-39,-48,-49,-56,-53,-46,-60,-47,-52,-88,-59
"5305","dr5ruw1",-33,-48,-43,-23,-43,-58,-40,-54,-47,-39,-54,-43
"5309","dr5ruw2",-23,-26,-24,-30,-26,-34,-5,-29,-25,-28,-32,-33
"5313","dr5ruw3",-16,-21,-31,-20,-30,-28,-32,-24,-24,-34,-39,-40
"5317","dr5ruw4",-5,-4,3,-1,1,-7,-1,-5,0,1,-7,-3
"5320","dr5ruw5",0,-2,1,-3,-2,-5,-5,-1,-3,-1,-3,-4
"5323","dr5ruw6",-29,-45,-57,-37,-45,-79,-61,-55,-31,-35,-201,-44
"5327","dr5ruw7",-19,-14,-7,-12,-36,-51,-38,-33,-41,-41,-38,-71
"5331","dr5ruw8",-99,-94,-93,-54,-88,-106,-49,-107,-82,-85,-121,-84
"5335","dr5ruw9",-32,-19,-36,-30,-34,-35,-15,-23,-23,-28,-31,-30
"5339","dr5ruwb",-70,-59,-60,-50,-65,-51,-33,-72,-40,-29,-85,-55
"5343","dr5ruwc",-42,-27,-32,-28,-25,-31,-23,-22,-22,-31,-41,-23
"5347","dr5ruwd",-13,-25,-20,-31,-3,-32,-8,-37,-31,-24,-55,-26
"5351","dr5ruwe",-12,-18,-27,-13,-18,-18,-15,-12,-19,-23,-28,-17
"5355","dr5ruwf",-13,-12,-12,-7,-14,-18,-6,-8,-11,-11,-18,-10
"5357","dr5ruwg",-23,-16,-30,-26,-15,-43,-17,-29,-31,-26,-55,-26
"5361","dr5ruwh",NA,NA,NA,-1,0,-1,-2,1,0,-1,-2,1
"5362","dr5ruwk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,1
"5363","dr5ruwm",NA,NA,NA,NA,NA,1,-1,-2,-1,-1,-1,-2
"5364","dr5ruwp",NA,NA,NA,NA,NA,-2,-2,1,0,0,-1,-1
"5366","dr5ruwq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5367","dr5ruws",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,-1
"5368","dr5ruwu",-3,-5,-6,-1,-3,-5,-3,-5,-7,-6,-7,-7
"5371","dr5rux0",-23,-29,-25,-17,-14,-19,-21,-25,-15,-21,-29,-25
"5375","dr5rux1",-24,-20,-30,-36,-27,-33,-13,-34,-16,-24,-45,-15
"5379","dr5rux2",-42,-44,-50,-52,-55,-72,-40,-62,-56,-50,-53,-57
"5383","dr5rux3",-27,-31,-34,-31,-33,-54,-22,-48,-22,-33,-40,-33
"5387","dr5rux4",-20,-31,-9,-22,-12,-24,-28,-19,-20,-22,-16,-18
"5391","dr5rux5",-30,-39,-43,-42,-37,-61,-26,-37,-24,-41,-40,-28
"5395","dr5rux6",-54,-57,-65,-60,-44,-100,-28,-68,-41,-72,-81,-49
"5399","dr5rux7",-13,-18,-7,-10,-8,-17,-13,-17,-6,-14,-20,-14
"5400","dr5rux8",-73,-64,-84,-65,-74,-72,-73,-75,-61,-50,-67,-92
"5404","dr5rux9",-17,-4,-12,-11,-13,-17,-10,-19,-9,-10,-18,-10
"5408","dr5ruxb",-55,-69,-56,-38,-63,-60,-52,-72,-52,-29,-56,-35
"5412","dr5ruxc",-68,-36,-81,-29,-41,-66,-44,-57,-37,-48,-52,-47
"5416","dr5ruxd",-6,-9,-17,-10,-18,-10,-16,-24,-7,-5,-14,-14
"5420","dr5ruxe",-22,-29,-26,-30,-25,-29,-24,-29,-28,-28,-39,-28
"5424","dr5ruxf",-14,-17,-14,-15,-16,-12,-9,-10,-2,-7,-12,-15
"5427","dr5ruxg",-15,-22,-20,-18,-4,-35,-20,-13,-22,-8,-34,-15
"5431","dr5ruxh",-34,-25,-38,-44,-48,-54,-44,-63,-57,-62,-49,-53
"5435","dr5ruxj",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,0,-1
"5436","dr5ruxk",-25,-8,-10,-19,-23,-19,-20,-22,-19,-19,-31,-18
"5440","dr5ruxm",-42,-23,-45,-25,-15,-46,-21,-29,-18,-19,-31,-19
"5444","dr5ruxn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5445","dr5ruxq",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"5446","dr5ruxr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5447","dr5ruxs",-10,-11,-18,-7,-8,-17,-1,-11,-4,-10,-13,-11
"5450","dr5ruxt",-16,-13,-19,-15,-32,-25,-17,-6,-29,-20,-20,-14
"5454","dr5ruxu",-39,-52,-35,-41,-55,-74,-35,-65,-43,-38,-81,-55
"5458","dr5ruxv",-4,-7,-4,-2,-4,-9,-2,-8,-7,-5,-8,-5
"5461","dr5ruxw",-6,-16,-3,-11,-9,-8,-11,-5,-3,-1,-12,-16
"5465","dr5ruxy",-144,-146,-165,-359,-149,-149,-225,-277,-105,-110,-177,-273
"5469","dr5ruxz",0,0,-3,-9,-3,-5,-2,-2,-4,-1,-5,-7
"5471","dr5ruy0",-1,0,1,0,-1,-2,0,-4,-3,-1,-2,-2
"5472","dr5ruy1",-21,-10,-15,-7,-19,-19,-15,-14,-14,-7,-30,-17
"5476","dr5ruy3",-5,-5,-2,-8,-4,-16,-10,-13,-12,-12,-8,-4
"5477","dr5ruy4",-22,-28,-22,-23,-25,-40,-28,-41,-23,-27,-47,-22
"5481","dr5ruy5",-50,-46,-83,-42,-82,-51,-58,-56,-56,-63,-67,-52
"5485","dr5ruy6",-38,-31,-26,-39,-73,-58,-38,-75,-62,-39,-57,-55
"5489","dr5ruy7",-41,-50,-49,-25,-68,-74,-40,-67,-50,-42,-61,-45
"5493","dr5ruyb",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-2,1
"5494","dr5ruyc",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-2,0
"5495","dr5ruyd",NA,NA,NA,1,0,0,1,-1,1,1,1,1
"5497","dr5ruye",-18,-29,-37,-48,-18,-32,-27,-21,-20,-20,-80,-33
"5501","dr5ruyf",NA,NA,NA,NA,NA,NA,NA,NA,1,-1,-2,-1
"5502","dr5ruyg",-5,-4,-2,-2,0,-11,-9,1,-1,0,-4,-5
"5506","dr5ruyh",-28,-53,-53,-30,-52,-49,-37,-52,-50,-42,-84,-51
"5510","dr5ruyj",-49,-42,-54,-26,-36,-78,-36,-71,-30,-46,-78,-51
"5514","dr5ruyk",-66,-93,-119,-77,-101,-98,-88,-106,-119,-106,-159,-97
"5518","dr5ruym",-52,-23,-45,-79,-36,-72,-47,-46,-42,-42,-64,-50
"5522","dr5ruyn",-73,-62,-51,-97,-82,-97,-48,-56,-61,-67,-79,-68
"5526","dr5ruyp",-56,-59,-50,-48,-55,-68,-46,-58,-41,-54,-76,-64
"5530","dr5ruyq",-71,-60,-57,-41,-66,-83,-34,-52,-55,-51,-73,-62
"5534","dr5ruyr",-39,-49,-77,-41,-47,-56,-49,-52,-41,-50,-76,-82
"5538","dr5ruys",-45,-50,-53,-44,-45,-93,-46,-67,-55,-34,-69,-53
"5542","dr5ruyt",-116,-104,-64,-79,-105,-118,-93,-95,-97,-117,-180,-100
"5546","dr5ruyu",-29,-37,-30,-33,-18,-39,-27,-35,-21,-21,-56,-23
"5550","dr5ruyv",-107,-71,-105,-81,-115,-114,-82,-113,-86,-107,-180,-113
"5554","dr5ruyw",-66,-80,-62,-56,-68,-102,-53,-80,-57,-67,-100,-60
"5558","dr5ruyx",-49,-49,-82,-55,-52,-46,-50,-75,-46,-52,-75,-58
"5562","dr5ruyy",-57,-69,-77,-45,-64,-86,-65,-79,-54,-62,-84,-68
"5566","dr5ruyz",-77,-75,-88,-62,-61,-99,-57,-77,-47,-65,-97,-72
"5570","dr5ruz0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"5571","dr5ruz3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0
"5574","dr5ruz4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2
"5575","dr5ruz7",-1,1,1,-2,-1,-1,0,0,1,-3,0,0
"5576","dr5ruz8",NA,NA,NA,NA,NA,NA,NA,NA,-4,1,0,-4
"5577","dr5ruz9",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-2,0
"5578","dr5ruzg",NA,NA,NA,NA,NA,1,1,1,-1,-2,1,2
"5579","dr5ruzh",-5,-16,-13,0,-8,-18,-5,-12,-15,-4,-22,-5
"5583","dr5ruzj",-56,-41,-67,-59,-68,-75,-31,-43,-52,-50,-75,-52
"5587","dr5ruzk",-2,-7,-6,-4,-6,-4,0,-6,-5,-8,-10,-5
"5588","dr5ruzm",-6,-19,-23,-1,-18,-18,-11,2,-7,-6,-27,-4
"5592","dr5ruzn",-124,-100,-123,-91,-137,-148,-99,-128,-93,-130,-154,-147
"5596","dr5ruzp",-50,-54,-71,-58,-46,-57,-46,-67,-37,-57,-55,-70
"5600","dr5ruzq",-32,-30,-27,-28,-39,-55,-31,-35,-29,-19,-63,-47
"5604","dr5ruzr",-54,-42,-58,-46,-40,-69,-42,-50,-47,-63,-63,-68
"5608","dr5ruzt",-2,-1,-2,5,-2,-4,-2,0,-1,1,-1,1
"5610","dr5ruzw",-108,-54,-84,-108,-116,-85,-73,-87,-58,-31,-112,-94
"5614","dr5ruzx",-97,-68,-62,-59,-80,-100,-67,-72,-69,-80,-114,-69
"5618","dr5ruzy",-19,-16,-14,-8,-26,-34,-17,-23,-26,-70,-37,-26
"5622","dr5ruzz",-36,-19,-48,-37,-24,-61,-28,-29,-20,-40,-36,-33
"5626","dr5rv0c",NA,NA,NA,NA,NA,NA,-2,-1,1,-1,0,-1
"5627","dr5rv0d",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,-1
"5628","dr5rv0t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,1
"5630","dr5rv0u",1,-2,-2,0,-2,-2,0,-1,-1,-7,-5,-9
"5632","dr5rv0v",NA,NA,NA,NA,-2,-1,-1,-1,1,-2,0,-2
"5635","dr5rv0y",1,-2,1,1,-1,0,0,-1,0,0,0,1
"5636","dr5rv10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-5,-1
"5637","dr5rv12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-2
"5638","dr5rv13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-3
"5639","dr5rv14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5640","dr5rv15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5641","dr5rv16",-2,-8,-1,-1,-4,-3,-4,-6,-4,-1,-4,-1
