"","geohash","netdiff","netdiff20","netdiff21","netdiff22","netdiff23","netdiff24","netdiff25","netdiff26","netdiff27","netdiff28","netdiff29","netdiff30"
"605","dr5reuv",-21,-21,-43,-20,-26,-33,-19,-16,-36,-33,-27,-36
"610","dr5reuw",-10,-11,-24,-12,-13,-14,-15,-11,-16,-11,-6,-19
"614","dr5reux",-19,-24,-19,-18,-9,-29,-21,-13,-34,-14,-40,-29
"619","dr5reuy",-14,-18,-21,-15,-10,-10,-10,-7,-15,-8,-9,-19
"624","dr5reuz",-3,-13,-17,-6,-14,-8,-11,-9,-16,-11,-18,-10
"629","dr5rev3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"630","dr5rev4",-7,-4,-10,-12,-3,-11,-6,-8,-6,-5,-5,-6
"634","dr5rev5",-59,-56,-104,-61,-59,-80,-50,-40,-93,-67,-70,-89
"639","dr5rev6",-8,-9,-8,-10,-9,-6,-3,-12,-9,-4,-1,-10
"642","dr5rev7",-27,-21,-21,-24,-33,-27,-16,-20,-28,-28,-28,-26
"646","dr5revd",-3,-6,-1,0,-2,2,0,-3,0,-1,0,-3
"649","dr5reve",-8,-12,-15,-13,-12,-21,-12,-10,-17,-10,-8,-12
"653","dr5revg",-13,-14,-18,-16,-14,-27,-18,-15,-30,-16,-15,-19
"654","dr5revh",-8,-12,-15,4,-3,-11,-7,-12,-9,5,-1,-19
"659","dr5revj",NA,NA,NA,NA,NA,NA,NA,NA,-6,-2,-1,-3
"660","dr5revk",-16,-7,-15,-10,-18,-34,-8,-14,-24,-9,2,-8
"665","dr5revm",-4,-10,-11,-2,4,0,-14,-9,-6,-2,-7,-4
"670","dr5revn",-13,-45,-20,-17,-19,-16,-19,-11,-24,-19,-5,-10
"675","dr5revp",-34,-36,-40,-40,-36,-57,-34,-20,-55,-26,-37,-31
"680","dr5revq",-29,-34,-40,-35,-36,-52,-21,-19,-30,-41,-32,-44
"685","dr5revr",-23,-26,-30,-14,-34,-36,-35,-24,-42,-23,-25,-24
"690","dr5revs",-16,-16,-21,-14,-14,-14,-8,-12,-13,-9,-17,-9
"694","dr5revt",-5,-4,-15,-18,-12,-14,-14,-11,-7,-10,-7,-12
"699","dr5revu",-14,-11,-18,-13,-22,-26,-31,-23,-21,-10,-15,-11
"704","dr5revv",-26,-27,-32,-17,-17,-42,-27,-24,-34,-15,-28,-28
"709","dr5revw",-20,-31,-36,-22,-24,-23,-21,-17,-24,-21,-23,-34
"714","dr5revx",-12,-4,-13,-10,-10,-23,-3,-6,-13,-9,-7,-13
"719","dr5revy",-32,-60,-68,-64,-60,-81,-53,-48,-69,-41,-48,-55
"724","dr5revz",-28,-12,-31,-23,-34,-51,-29,-9,-26,-18,-25,-18
"729","dr5rey5",-3,0,0,-1,-5,-4,-1,-2,-4,-2,-5,-2
"730","dr5rey6",0,0,-3,-1,-3,-7,-6,-11,-8,-3,-2,-6
"731","dr5rey7",-3,-1,-1,-4,1,-6,-2,-1,-21,-2,-1,-5
"733","dr5reyd",-7,-5,-2,-4,-7,-9,-4,-4,-7,-6,-5,1
"735","dr5reye",-2,-6,-1,-1,-1,-3,-3,-4,-10,-1,-1,-3
"736","dr5reyg",-5,-5,-11,-7,-7,-7,-4,-3,-8,-3,-8,-11
"739","dr5reyh",-6,-2,-11,-2,-1,-10,-10,-8,-14,-5,-7,-8
"743","dr5reyj",-58,-52,-82,-43,-44,-72,-51,-55,-73,-40,-64,-64
"748","dr5reyk",0,-3,-4,-3,-5,-11,-3,-5,-12,-5,5,-9
"753","dr5reym",-17,-9,-39,-14,-13,-31,-24,-40,-11,-32,-38,-35
"758","dr5reyn",-59,-81,-109,-70,-59,-97,-76,-70,-91,-71,-63,-77
"763","dr5reyp",-7,-8,-10,-10,-15,-15,-7,-8,-12,-8,-4,-9
"766","dr5reyq",-36,-44,-97,-65,-42,-87,-69,-43,-67,-41,-55,-70
"771","dr5reyr",-53,-42,-45,-47,-48,-48,-44,-39,-51,-42,-33,-42
"776","dr5reys",-29,-20,-17,-22,-17,-30,-19,-31,-26,-11,-26,-28
"781","dr5reyt",-55,-55,-72,-50,-40,-57,-48,-42,-51,-32,-43,-56
"786","dr5reyu",-22,-23,-28,-34,-21,-36,-21,-20,-31,-30,-34,-34
"791","dr5reyv",-17,-10,-21,-6,-14,-17,-3,-11,-15,-1,-20,-8
"796","dr5reyw",-17,-16,-30,-13,-17,-34,-9,-11,-18,-5,-10,-14
"801","dr5reyx",-43,-21,-49,-36,-31,-39,-20,-21,-22,-29,-34,-27
"806","dr5reyy",-7,-12,-14,-14,-15,-13,-6,-5,-13,-2,-5,-12
"811","dr5reyz",-15,-34,-42,-26,-27,-35,-25,-21,-20,-14,-13,-29
"816","dr5rez5",-4,-2,-1,-6,-13,-8,-2,-7,-3,-2,-3,-2
"818","dr5rez7",-6,-4,-3,-2,-7,-8,-5,-6,-5,-2,-5,-5
"819","dr5reze",-11,-11,-9,-9,-3,-4,-7,-10,-10,-10,-6,-12
"820","dr5rezg",-1,-5,-6,-7,-3,-3,-1,-3,-5,-6,-5,-7
"823","dr5rezh",-14,-9,-20,-8,-6,-17,-12,-3,-32,-14,-14,-19
"828","dr5rezj",-7,-4,-25,-8,-10,-18,-16,-11,-14,-7,-1,-23
"833","dr5rezk",-17,-13,-14,-8,-2,-12,-11,-4,-8,-6,-16,-10
"836","dr5rezm",-19,-8,-14,-11,-2,-18,-4,-14,-24,-14,-17,-14
"841","dr5rezn",-20,-22,-25,-21,-23,-40,-8,-7,-9,-13,-29,-22
"846","dr5rezp",-18,-10,-20,-12,-20,-24,-5,-12,-16,-21,-18,-25
